City,Cloudiness,Country,Humidity,Lat,Lng,Max Temperature,Wind Speed,Date
Aktau,75,KZ,100,43.65,51.16,6.0,4.0,"Apr, 04 2019"
Mataura,100,NZ,91,-46.19,168.86,11.11,3.58,"Apr, 04 2019"
San Patricio,56,PY,92,-26.98,-56.83,23.8,1.31,"Apr, 04 2019"
Busselton,8,AU,49,-33.64,115.35,19.44,8.61,"Apr, 04 2019"
Rikitea,20,PF,100,-23.12,-134.97,24.05,8.51,"Apr, 04 2019"
Punta Arenas,75,CL,75,-53.16,-70.91,5.0,5.7,"Apr, 04 2019"
Tuatapere,92,NZ,91,-46.13,167.69,11.11,3.58,"Apr, 04 2019"
Nikolskoye,0,RU,37,59.7,30.79,1.67,3.0,"Apr, 04 2019"
Hilo,20,US,61,19.71,-155.08,27.0,5.7,"Apr, 04 2019"
Cabo San Lucas,5,MX,69,22.89,-109.91,28.33,2.6,"Apr, 04 2019"
Soyo,76,AO,91,-6.13,12.37,27.35,1.76,"Apr, 04 2019"
Albany,40,US,35,42.65,-73.75,6.11,8.7,"Apr, 04 2019"
Bethel,1,US,60,60.79,-161.76,6.0,10.3,"Apr, 04 2019"
Kapaa,20,US,54,22.08,-159.32,26.0,5.1,"Apr, 04 2019"
Glendive,75,US,52,47.11,-104.71,10.0,10.3,"Apr, 04 2019"
Ushuaia,92,AR,84,-54.81,-68.31,3.45,7.81,"Apr, 04 2019"
Goderich,8,CA,71,43.74,-81.71,0.56,6.01,"Apr, 04 2019"
Sena Madureira,44,BR,89,-9.07,-68.66,26.3,0.76,"Apr, 04 2019"
Vaini,20,IN,83,15.34,74.49,22.0,1.11,"Apr, 04 2019"
Shintomi,0,JP,35,32.08,131.47,13.0,4.6,"Apr, 04 2019"
Geraldton,75,CA,49,49.72,-86.95,-5.0,3.6,"Apr, 04 2019"
Saint George,75,GR,81,39.45,22.34,7.0,0.91,"Apr, 04 2019"
Avarua,80,CK,69,-21.21,-159.78,28.0,3.1,"Apr, 04 2019"
Barrow,0,AR,41,-38.31,-60.23,18.35,5.81,"Apr, 04 2019"
Castro,75,CL,100,-42.48,-73.76,10.0,3.1,"Apr, 04 2019"
Zhigansk,88,RU,82,66.77,123.37,-2.45,2.21,"Apr, 04 2019"
Port Alfred,0,ZA,76,-33.59,26.89,16.67,2.76,"Apr, 04 2019"
Lorengau,32,PG,100,-2.02,147.27,28.05,3.51,"Apr, 04 2019"
Luan,92,CH,93,46.36,6.98,2.22,1.0,"Apr, 04 2019"
Pokhvistnevo,92,RU,94,53.65,52.12,1.45,6.56,"Apr, 04 2019"
Bossangoa,0,CF,78,6.5,17.45,23.35,1.26,"Apr, 04 2019"
Hobyo,8,SO,91,5.35,48.53,25.95,3.16,"Apr, 04 2019"
Carnarvon,0,ZA,43,-30.97,22.13,9.45,1.61,"Apr, 04 2019"
Khatanga,88,RU,88,71.98,102.47,-8.3,4.46,"Apr, 04 2019"
Port Shepstone,8,ZA,90,-30.74,30.45,22.95,7.71,"Apr, 04 2019"
Fortuna,0,ES,72,38.18,-1.13,15.56,6.7,"Apr, 04 2019"
Ust-Kuyga,44,RU,76,70.0,135.55,-6.55,2.21,"Apr, 04 2019"
Bako,12,NG,69,9.68,6.4,25.4,1.41,"Apr, 04 2019"
Barcelos,0,PT,81,41.53,-8.62,8.0,1.5,"Apr, 04 2019"
Atuona,0,PF,100,-9.8,-139.03,27.7,6.26,"Apr, 04 2019"
Ribeira Grande,88,PT,100,38.52,-28.7,14.85,7.86,"Apr, 04 2019"
Acapulco,5,MX,70,16.86,-99.88,29.0,4.6,"Apr, 04 2019"
Opuwo,0,,80,-18.06,13.84,16.55,1.51,"Apr, 04 2019"
East London,36,ZA,95,-33.02,27.91,23.8,10.46,"Apr, 04 2019"
Victoria,75,BN,83,5.28,115.24,29.0,1.16,"Apr, 04 2019"
Hobart,20,AU,44,-42.88,147.33,15.56,3.1,"Apr, 04 2019"
Gourcy,88,BF,46,13.21,-2.36,29.2,5.26,"Apr, 04 2019"
New Norfolk,20,AU,44,-42.78,147.06,15.56,3.1,"Apr, 04 2019"
Nishihara,20,JP,37,35.74,139.53,13.33,1.5,"Apr, 04 2019"
Bilibino,8,RU,87,68.06,166.44,-2.35,1.41,"Apr, 04 2019"
Bambous Virieux,40,MU,94,-20.34,57.76,25.0,3.76,"Apr, 04 2019"
Kampong Thum,88,KH,98,12.71,104.89,23.35,2.26,"Apr, 04 2019"
Arraial do Cabo,20,BR,88,-22.97,-42.02,22.0,1.5,"Apr, 04 2019"
Chuy,12,UY,92,-33.69,-53.46,17.8,2.56,"Apr, 04 2019"
Upernavik,88,GL,95,72.79,-56.15,-7.9,25.01,"Apr, 04 2019"
Nur,0,PL,45,52.67,22.32,3.33,4.02,"Apr, 04 2019"
Cidreira,8,BR,93,-30.17,-50.22,22.35,1.06,"Apr, 04 2019"
Tateyama,75,JP,56,36.66,137.31,9.44,0.5,"Apr, 04 2019"
Baykit,48,RU,74,61.68,96.39,-6.65,4.76,"Apr, 04 2019"
Zyryanka,0,RU,79,65.73,150.89,-4.15,1.46,"Apr, 04 2019"
Zatec,0,CZ,86,50.33,13.55,11.11,2.6,"Apr, 04 2019"
Gunjur,0,GM,82,13.18,-16.76,20.0,5.7,"Apr, 04 2019"
Kaitong,20,CN,39,44.81,123.15,6.35,5.71,"Apr, 04 2019"
Puerto Ayora,75,EC,70,-0.74,-90.35,29.0,4.6,"Apr, 04 2019"
Yellowknife,20,CA,46,62.45,-114.38,-13.0,4.1,"Apr, 04 2019"
Saskylakh,48,RU,83,71.97,114.09,-6.3,2.06,"Apr, 04 2019"
Iqaluit,20,CA,77,63.75,-68.52,-18.89,2.1,"Apr, 04 2019"
Vung Tau,0,VN,93,10.35,107.08,28.3,5.06,"Apr, 04 2019"
Thompson,20,CA,37,55.74,-97.86,-7.0,1.56,"Apr, 04 2019"
Callaway,1,US,64,46.98,-95.91,2.0,2.6,"Apr, 04 2019"
Mwanza,20,TZ,83,-2.52,32.9,22.0,6.01,"Apr, 04 2019"
Kruisfontein,48,ZA,78,-34.0,24.73,15.6,3.11,"Apr, 04 2019"
Hermanus,48,ZA,93,-34.42,19.24,16.11,1.56,"Apr, 04 2019"
Dikson,80,RU,100,73.51,80.55,-5.65,7.71,"Apr, 04 2019"
Cherskiy,0,RU,75,68.75,161.3,-1.15,1.01,"Apr, 04 2019"
Saint Lawrence,40,MT,93,36.06,14.2,14.44,6.2,"Apr, 04 2019"
Jamestown,0,AU,41,-33.21,138.6,22.55,3.46,"Apr, 04 2019"
Wanning,0,AT,65,48.64,13.53,10.56,3.6,"Apr, 04 2019"
Rawson,88,AR,30,-43.3,-65.11,18.2,4.21,"Apr, 04 2019"
Yulara,0,AU,35,-25.24,130.99,25.0,8.2,"Apr, 04 2019"
Narsaq,0,GL,67,60.91,-46.05,-10.65,2.86,"Apr, 04 2019"
Tiksi,76,RU,83,71.64,128.87,-2.25,4.66,"Apr, 04 2019"
Chokurdakh,0,RU,90,70.62,147.9,-10.65,1.86,"Apr, 04 2019"
Severo-Kurilsk,92,RU,90,50.68,156.12,1.7,2.51,"Apr, 04 2019"
Butaritari,88,KI,100,3.07,172.79,25.7,1.11,"Apr, 04 2019"
Namatanai,68,PG,98,-3.66,152.44,28.45,2.31,"Apr, 04 2019"
Olinda,75,EC,88,-2.03,-79.75,27.78,2.6,"Apr, 04 2019"
Lompoc,90,US,72,34.64,-120.46,17.22,4.6,"Apr, 04 2019"
Cayenne,75,GF,74,4.94,-52.33,27.0,4.6,"Apr, 04 2019"
Ahipara,32,NZ,78,-35.17,173.16,21.1,4.66,"Apr, 04 2019"
Nanortalik,48,GL,100,60.14,-45.24,-0.05,9.26,"Apr, 04 2019"
Tuktoyaktuk,75,CA,70,69.44,-133.03,-17.0,4.6,"Apr, 04 2019"
Grindavik,75,IS,100,63.84,-22.43,5.0,2.1,"Apr, 04 2019"
Rio Grande,24,BR,93,-32.03,-52.1,21.85,3.46,"Apr, 04 2019"
Provideniya,40,RU,68,64.42,-173.23,-3.0,9.0,"Apr, 04 2019"
Luba,0,PH,87,17.32,120.7,24.2,1.76,"Apr, 04 2019"
